cleantext,sentiment_type_training
typically demonetization may be used in a hyperinflation de gaulle used it i think after ww2 rbi pmoindia,Negative
trump won and india is fighting against black money this is racism at it peak demonetization trumppresident,Negative
true hope pmoindia narendramodi shut everyone s mouth wid righteous step no mean politics iamwithmodi demonetization chaaicoffee â,Positive
traveling in train people discussing against demonetization,Neutral
transforming the digital payment infrastructure india demonetization digitalpaymentinfrastructure news,Neutral
toon vouch indiafightscorruption modi bjp india demonetization blackmoney modifightscorruption currencybanpic twitter com dfr2oltdol,Neutral
toon for peaceful sleep indiafightscorruption modi bjp india demonetization blackmoney modifightscorruption currencybanpic twitter com a53frjnfn2,Positive
toon change indiafightscorruption india demonetization blackmoney modifightscorruption currencybanpic twitter com rrcda1i0jj,Neutral
took me hour to deposit my money in my bank but i m still happy that demonetization cashcleanup is gonna change incredibleindia,Neutral
took a meeting of senior official and banker on demonetization have written to arunjaitley ji making important suggestion pic twitter com qlkuxxxfjm,Positive
to all those dumb f k who told everything would just fall flat cuz of demonetization â,Positive
tmc mp protest in newdelhi against demonetization arrest of party legislator in alleged rose valley chitfundscam,Neutral
timetofreecharge real time marketing idea from demonetization of and r note pic twitter com vigtpahufr,Neutral
till such time that political class clean it own house i find it difficult to believe intent behind demonetization is not electoral gain,Negative
through demonetization modi ha just redistributed black wealth from poor to his rich friend notmypm â,Negative
threadbare informative thread on demonetization â,Neutral
thousand crore r black money surrendered by surat s diamond businessman due to demonetization effect of modifightscorruption achhedinpic twitter com uxaekdzbgb,Positive
those who say people should wait to go to bank for currencyexchange are like mary antoinette who said let them eat cake demonetization,Neutral
those really want corruptionfreeindia supporting pm modi in this demonetization step of indian economy for dramebaaz there is aapkapaap,Positive
those business with current account with bank can withdraw up to r to pay wage a per new government directive demonetization,Neutral
this will help you in your search for cash demonetization â,Neutral
this wa the reason why mayawati wa opposing demonetization and pm modi â via the resurgent india,Neutral
this twitter thread highlight how demonetization ha thrown life apart in small town pic twitter com wwes8z3vqy,Negative
this opposition unity against demonetization give bjp golden opportunity to play victim aap should stay away from the like of tmc cong,Neutral
this may rub salt on wound on liberal sickulars india set to be asia s standout economy post demonetization â,Positive
this is similar to demonetization expecting the rich corrupt in line also criminal will have pvt dance bar in their place of choice â,Negative
this is a golden opportunity to go digital sbi chairman smt arundhati bhattacharya demonetization,Neutral
this is a big step in the right direction excited for india respect for narendramodi ji demonetization,Positive
this halla overâ demonetization reminds me of frederick forsyth s the cobra â he wa about to solve the drug problem of u but,Neutral
this demonetization is biggest crony capitalist coup that ha ever happened in india india will have to pay heavy price,Negative
this demonetization is a great leveller no vip no reservation no minority exemption just everyone falling in line,Positive
this demonetization act is completely aâ moral act and an obligation demonetization,Positive
this day will be heavy stay patient stay sane demonetization currencyban bank â,Neutral
â œthinning walletsâ challenge of going cashless in india blackmoney demonetization iamwithmodi â,Neutral
thinking whether demonetization is an example of butterfly effect or chaos theory,Neutral
thinkin labour poor beggar wil participate in voting for the demonetization support stupid news aashishkhetan,Negative
think you should not call it an idiotic step can call it under prepared step demonetization,Negative
thing to know about the new note demonetization rs2000 by diksha chakraborty pic twitter com p0fzonsid1,Neutral
thing hv nt bn ryt since demonetization kicked in donaldtrump got elected the mussourie landour trip got the ve outlook back walkpic twitter com bfugfooul4,Neutral
they should be declared anti_national a they r instigating indian a civil war against demonetization narendramodi arunjaitley â,Neutral
they only know the gravity and impact of this demonetization bound to go mad on such a big mishap indian_stockss,Negative
there will be severe inconvenience but we let blackmoney grow to cancerous level so we should endure the treatment demonetization,Positive
there is no record of a cabinet meeting on 8th nov minister were kept a prisoner when pm announced demonetization on tv pchidambaram,Negative
there is huge shortage of cash in village soon demonetization will kill rural economy rbi narendramodi arunjaitley,Negative
there is a very thin line between confidence and overconfidence which is visible to wise only rest cross it demonetization,Negative
theeconomist speaks what cost have we paid are going to bleed for demonetization â,Negative
the world bank would appear a novice if it cared to hear our fm pontificate on demonetization ha â,Neutral
the world bank ha lowered it growth forecast for india to from in due to demonetization,Negative
the untold story of demonetization masterstroke or mishandling narendramodi cashrush,Neutral
the unforeseen demonetization initiative ha created a sense of rush among black money hoarder,Positive
the top indian bitcoin exchange are now featured on our list gvt seigniorage ha no place in btc too hard to confiscate demonetization pic twitter com r3p2ygovrv,Neutral
the third stanza of a song by legendary suresh bhat which sum up current demonetization fiasco marathi currencyban currencyexchangepic twitter com f4lsgrjhhc,Neutral
the sweet euphoria when you find a r note that help you pay your cab fare demonetization nocashatatms huzzah,Neutral
the social impact of indiaâ s demonetization bank threaten impoverished farmersâ â,Neutral
the small and medium industry across india have experienced a close to drop in their production and sale due to demonetization pic twitter com y1dgigso4h,Neutral
the rise of the cashless city there is this real danger of exclusion demonetization varneyco warriors_mom â,Negative
the other side of midnight shameless mamataofficial called sitaramyechury toxic cpimspeak incindiauk for stopping demonetization,Neutral
the only form of paper money i hold at the moment cashless demonetization peninsulaâ,Neutral
the new r note is for sure a female be ready to bear the tantrum pinknote demonetization,Positive
the national small industry corporation ltd nsic conducted an awareness campaign on demonetization and,Neutral
the most powerful and pleasing word than i love you are atm ha money demonetization,Positive
the most powerful and pleasing word than i love you are atm ha money demonetization,Neutral
the leader opposing demonetization pushed pm narendramodi into taking this hard decision now they r cry too late now,Neutral
the key is to have some patience and keep your cool demonetization,Positive
the inimitable onlybabasehgal weighs in on the demonetization debate with his trademark perspective â,Neutral
the impact of demonetization â perspective of an indian â rammadhavbjp muhtodjavab,Neutral
the effect of demonetization those company which had come in to the habit of holding the salary of two three,Neutral
the devastating effect of demonetization though indirect but the hardest the most fatal unorganized sector is almost finished who care pic twitter com tmrwfof8ul,Negative
the demonetization of r r note led to deposit of r lakh crore in bank within day lexplosion1 â,Neutral
the demonetization is really a boon for the groom n,Neutral
the demonetization ha shown that not only are we the most jobless people in the world but also the one with the best sense of humour,Neutral
the demonetization ha created havoc in the political party they are opposing it for their own sake byebyeblackmoney,Positive
the demonetization drive anticorruption or antipeople the aadarsh liberal weighs in with some great point,Neutral
the demonetization debate explained â have have nots of intelligence pic twitter com pf4as4wnvr,Neutral
the demonetization cripple the informal sector the wage labourer time for reality check,Negative
the concept behind mustread demonetization modi,Neutral
the acceptance of demonetization will be showcased in the parliament on 16th nov eagerly waiting to listen to rahul gandhi n kiran kher â,Neutral
that s actually amazing demonetization wow socialgood â,Neutral
that giant sucking sound you hear is not economics it s politics demonetization â,Neutral
that feeling when you try to withdraw 2k from atm and get all 100 krupak1926 bliss demonetization fb,Neutral
thank you bhaskerkode for putting this together go for it pune payment fintech demonetization â,Neutral
thank you banker your tireless effort amidst the heat of demonetization is doing great good for people across india,Positive
telangana woman died due to family feud not demonetization â via oneindia,Neutral
tax saving tip you may not know time to use all the tax saving option after demonetization,Neutral
tavleen_singh specially abled are ready to cooperate but cm of a state is threatening riot owing to demonetization â,Neutral
tamilnadu there is a marginal improvement in cash flow situation after over five day of demonetization move by centre,Neutral
tale from demonetization in india it is time for bitcoinpic twitter com vttylg3bmd,Neutral
take all your rupee note run for shopping bigbazar currency demonetization pmo indiancurrency money chaaicoffeepic twitter com kvkr6tzh1b,Neutral
surely demonetization breaking the back of blackmoney bt irs officer kejri doesn t know any single advantage of this iamwithmodi,Positive
superb notedown demonetization,Positive
super marketing campaign by kotakbankltd there have to be some positive to the demonetization tragedy konakonacashfree â,Negative
sudhirchaudhary sardanarohit rubikaliyaquat it should be regarded a deshbhakton ki katar instead of bank ki line demonetization,Negative
suddenly 54inchchest make sense don t u feel taller paying tax no slush fund dignity independence modieffect demonetization,Positive
streetgst with financial inclusion we will get to know more about bharat and it aspiration great move demonetization gst,Positive
street food seller in india business suffered because of demonetization of rupee note but i support it modiwinning â,Positive
stay positive stay patient stay clear of political thug and journalist rant thing are already getting better demonetization,Positive
sri sri s message on demonetization of rupee note via youtube corruption blackmoney india,Neutral
sorry but left liberal are behaving and applying right wing like logic today demonetization,Negative
someone pls track crime rate accident air quality etc over the last next few day degrowth is a win demonetization,Positive
some thought on the current situation demonetization increasetheexemptionlimitpic twitter com v1p11uuunj,Neutral
some spin doctor of demonetization cashtration will spin this too saying this will be good for indian economy â,Positive
some say gdp can be a low a we can imagine that what kind of a disaster demonetization is former pm mmsâ â,Neutral
some perspective demonetization is the largest most impactful economic reform ever implemented will reset tâ â,Positive
socialmedia backlash force paytm to take down ad targeting india s demonetization â via mashable,Neutral
so modi took the idea of demonetization from this gujrati newspaper â,Neutral
so hdfc_bank atm is not accepting icicibank debit card this is what they called proper planning demonetization,Negative
snapshot of the protest rally against demonetization rbi gherao by assampyc at guwahati indraniiyc ap_pycpic twitter com qb0afybean,Neutral
smile on ppl s face after rcving new note is same a getting first salary in hand demonetization,Neutral
smac by narendramodi demonetization in india social medium update mobile cashless society analytics old currency cloud data mining,Neutral
size of india s shadow economy is of gdp people still think tht modiâ s demonetization decision w entirely unnecessary,Negative
sir in my town honest poor ppl are suffering too much if there are no proper result of demonetization they lost their faith in govt â,Negative
sir i disagree mitigation make them stronger nnt is this a permanent solution demonetization,Negative
sir demonetization is a great move but the common man is suffering ha no money to eat and is anxious pls help the nation,Positive
sir can demonetization be linked with swacchbharat narendramodi dev_fadnavis,Neutral
simple question if a doctor can work for 24hrs why can t a banker demonetization,Neutral
sideeffect of demonetization â,Negative
side effect of demonetization is schizophrenia in many more than feeling suddenly poor seems so,Negative
show your n your corporate supporter black money a party donation get d note changed and enjoy demonetization,Neutral
short run hit economy real estate daily job price long run boost efficiency transparency tax collection growth demonetization,Neutral
shataranj u tube link of my interview on news channel gtpl about cricket vibrantgujarat demonetization etc â,Neutral
sharing his view on demonetization in india naksis said the decision will surge digitalwallet transaction â,Neutral
share ve story of ppl supporting demonetization let s counter the propaganda by presstitutes oppn with i_support_demonetization pic twitter com 0b5zskz2jd,Neutral
shalini thackerayâ s objection on demonetization affecting the woman of india occurred during bmc s election at versova vidhansabha pic twitter com ckkg4rs0ws,Neutral
sgurumurthy rvaidya2000 sir get interviewed and post it on you tube about effect of demonetization by narendramodi government,Neutral
sgurumurthy bjp4tamilnadu modi can declare demonetization with no notice but need legal intervention for jallikattu need separatetn,Negative
seems market ha accepted both trump and demonetization sensex nifty,Neutral
seems like some faction inside rw don t mind throwing demonetization under the bus just to get at aj get a life you loser,Neutral
seeming evident it s gonna be bjp v s rest in coming election and issue will be demonetization bjp ha to figure strategy sardanarohit,Neutral
second thought after mayhem superprimetime demonetization modi â pic twitter com d6rgav9mlt,Neutral
sec faridabad haryana sbi doesn t give form to open bank account demonetization demonetisation narendramodi,Negative
sc refuse to give an urgent hearing on plea against demonetization of note case to be taken up on tuesday timesofindia,Neutral
sbi itslef ha crore active debit card this mean effectively each 6th person in the country ha a sbi card demonetization,Neutral
sbi is charging for cash deposit when kotak others ve sent message waiving off their cash deposit charge demonetization pmoindia,Neutral
sardesairajdeep even after day no single smart suggestion seem to emanate from you sir demonetization arnabonblackmoney â,Neutral
sand artist sudarsansand creates sand art on the demonetization move by narendramodi at puri beachpic twitter com shugtxfdib,Neutral
salute to the woman steering the process of demonetization sbi chairman arundhati bhattacharya leading from the front arnabonblackmoney,Positive
sad to see that the rich and corrupt have already found way to convert their cash stash into the new currency demonetization,Negative
rt people throng bank to exchange old note blackmoney demonetization finminindia arunjaitley rbi narendramodi â,Negative
rt new r note with extra security feature in few month economic affair secretary demonetization follâ,Neutral
rt mib_india demonetization of r note how much value will i get pic twitter com 8gogdnovgg,Neutral
rt maqbool_sm reason why bjp s demonetization move is an unmitigated â and politically motivated â disaster â â,Neutral
rt in midst of demonetization chaos bitcoin purchase in india increase by percent â by jjacob47,Neutral
rt got a big stash of r r note here is how you can still make them demonetization follow letscontâ,Neutral
rt gops333 this scheme is not demonetization this is old note for new unprepared moâ â pic twitter com tsezyhpyd4,Neutral
rt gabbbarsingh surprised ndtv hasn t found an angle to deem this demonetization anti dalit or anti minority working hard,Neutral
rt artofliving statement from gurudev srisri on demonetizing of and rupee note demonetization â â,Neutral
roflcritic corect urslf modi narcissist detached frm grnd reality demonetization,Neutral
rich have started using slum people and their staff to exchange cash from different bank black marketing is in our blood demonetization,Neutral
retweeted pib india pib_india pm narendramodi chair meeting on demonetization take key,Neutral
retweeted manjul manjultoons demonetization blackmoney demonetizationbenefits demonetizationdisaster,Negative
retweeted ajit ranade ajit_ranade not surgical strike it s the nuclear button this is modi s pokhran kudos demonetization,Positive
respect bank employee help them help you indiafightscorruption byebyeblackmoney modifightscorruption blackmoney demonetization modipic twitter com sw6sks5ztp,Neutral
reserve bank of india body to test blockchain technology fintech paymentsnews demonetization pic twitter com 05h05j390x,Neutral
realty price may crash up to demonetization effect detail at,Negative
rbi say govt decided demonetization govt say rbi s concept even kid won t play like this modidestroyingrbi,Negative
rbiâ s upi is the best fastest cheapest foe cashless transactionsâ instead of promoting it before demonetization modi ji did paytm adsâ â,Neutral
rbi s original proposal wa to issue r r note demonetization â,Neutral
rbi s failure to keep count of cash printed after demonetization is not surprising at all instead it is the,Negative
rbi printed r note worth 30k crore without silver security thread in jan2016 demonetization,Neutral
rbi pmoindia is there a helpline to report the shop accepting still chennai demonetization,Neutral
rbi made demonetization grand success but it union under political influence attack narendramodi govt for encroaching it autonomy,Positive
rbi issue statement like this totally unaccountable joke the day demonetisationdisaster rahulgandhi apnnewsindia demonetization â,Neutral
rbi issue new 2000banknotes in india techiehweels 500notes 2000rupee blackmoney ban demonetization â,Neutral
rbi employee urging urjit patel to protect rbi s autonomy demonetization mess ha spoilt t delicate balance btwn within institution pic twitter com qgrkk7lej4,Neutral
rahulgandhi question government s demonetization move pic twitter com gv7vkrmtpf,Neutral
r now usable till nov for utility medical payment and stuff ah well some respite for cash folk demonetization,Neutral
q a on demonetization of r r note and it impact today live on facebook live at 7pm please sharepic twitter com 0o45y5waef,Neutral
puzzling why arun jaitley ha not issued a statement tweet on demonetization till now blackmoney,Neutral
putting the demon in demonetization noteban acchedin vishaldadlani sapnabhavnani imsabbah dasbolshevik free_thinker mishra_pravin â,Neutral
purchase of bitcoin in india increase by percent in the midst of demonetization chaos the premium thatâ pic twitter com 2ui3wt6dzl,Neutral
public interest information tweet on demonetization please rt them individually â â,Neutral
proud to know that after many year of congress rule the nationalism and patriotism still exists please support for demonetization,Positive
pronouncement policy of demonetization is best decision evr took to out blackmoney frm treasure india economy leadership,Positive
probably this is d reason why mamtaofficial is so upset abt demonetization chahe jitni koshish karo desh ki janata apke jaal me nhi ayagi â,Neutral
probably someone so pissed of demonetization spread rumor so that lil bit of cash left is also wiped out of our economy salt,Neutral
post demonetization when do you plan to invest in realestate,Neutral
post demonetization nris still can t use imp upi despite all the multi factor authentication hype why,Neutral
post demonetization arvindkejriwal in real shock how blackmoney wil b used in punjab goa gujrat poll surgicalstrikeonblackmoney â,Neutral
poll khol â demonetization politics currencyban impact election2016 fund civicbodies maharashtra civicpollspic twitter com i3uew0l5gu,Neutral
pmoindia narendramodi hope one day whole country will become like akodaravillage in gujrat after demonetization pic twitter com ofukavmfcj,Neutral
pmoindia narendramodi gr8 move with demonetization pl do not complaint perturb you there are more ppl happy hopeful than d whiner,Positive
pmoindia demonetization thanks for bringing quake under sword would hv bn easier if deadline is declared after atm are caliberated,Negative
pm narendramodi we support your decision on demonetization of r and r even when it is a little struggle in the beginning,Positive
pm narendramodi through his demonetization in india at his final leg in making india great again shld help trump in future to do the same pic twitter com mlwje3h3om,Positive
pm narendra modi reject opposition demand for demonetization rollback via economictimes,Neutral
pm modi should have taken care of the functioning of the atm s and it software before launching demonetization â,Negative
pm modi say demonetization drive is â kadak chaiâ say poor still getting sound sleep pic twitter com wt8f5ipddh,Neutral
please give incentive or overtime to bank employee to work extra hour an to pm it will help demonetization,Neutral
piyushgoyal is there a way we can help bank employee a a volunteer during this process of demonetization n,Neutral
pic from raipur ahmedabad at am shopping for makarsankranti is there any demonetization effect pic twitter com ceewzymh79,Neutral
pib_india rt mib_india demonetization of r note why this scheme pic twitter com kypwz2vag4,Neutral
pib_india rt mib_india demonetization of r note other query in transactâ pic twitter com mf35slhsxopic twitter com wkpsknwtd1,Negative
pib_india pm narendramodi chair meeting on demonetization take key decision â twitterindia twittermoâ,Neutral
pib_india live govt s decision on demonetization is directed towards a cashless economy fm arunjaitley,Neutral
pib_india left wing extremism ha taken a big hit after demonetization hm rajnathsinghâ pic twitter com cjctj3oybopic twitter com 78a3cj9n7j,Neutral
pib_india here s the fine detail detailed press release from finminindia on demonetization of r 1000â pic twitter com xrft3qxwfy,Neutral
petrol price increase in pune by since decmbr is it related to cash back of on card transaction anyone watching demonetization,Neutral
people with blackmoney after demonetization of and r note pic twitter com 4ivsxdidml,Neutral
people throng bank to exchange old note blackmoney demonetization finminindia arunjaitley rbi narendramodi,Neutral
people throng bank to exchange note after govt announce demonetization bank government demonetization india pic twitter com xjcsnzzn26,Neutral
people should endure the trouble due to demonetization of r r if they want to remove blackmoney from economy respect pmmodi,Positive
people have forget orop and now every one are behind demonetization hat off modiji pmoindia ndtv rahulgandhi,Positive
people have already died of demonetization and it s only day5 â,Negative
people flock to mother dairy petrol pump after demonetization pic twitter com rctumdxddq,Neutral
people flock to mother dairy petrol pump after demonetization pic twitter com rctumdxddq,Positive
people find way to cheat toll receipt at ban toll plaza jammuudhampur hwy nh44 morthindia narendramodi nitin_gadkari demonetization pic twitter com lhfp0uvoau,Neutral
people are having difficulty in changing note just think how difficult it is for pm narendramodi to change the country demonetization,Negative
peetee know why demonetization will help india grow â,Neutral
paytm claim record number of transaction after govt s demonetization move,Neutral
paying your school fee wa never this easy it just take second with feeontime gocashless demonetization pic twitter com 5cxrqpjxcz,Neutral
patient face severe problem at nim ntvtelugu demonetization moneyexchange newcurrency rbi hyderabad,Negative
papa and younger brother anuj9885 like countless other bank india post employee spending endless hour at work demonetization,Negative
panic on demonetization of rupee same wa the case when done in need for some patience to enable situation to stabilize blackmoney,Positive
pan or form mandatory for bank account holder next move after demonetization acchedin,Positive
over people say demonetization affected common people more than the corrupt survey pic twitter com p64hczzm6m,Negative
our latest blog on demonetization and the great opportunity it present for wealth creation â,Positive
our accountant anirban help our gardener sudesh to open up a bank a c to ease his transaction pmoindia cashless demonetization pic twitter com 8asgekh2ma,Neutral
opposition s criticism of demonetization ha exposed them amitshah pic twitter com pwg4i40qsq,Neutral
only those whoi have lost their life time earnings thru corruption are opposed to demonetization public is supporting this move,Positive
one of the take away of demonetization which very few r discussing is demand of hepty cash black dowry during marriage hat off to pm,Positive
one of the best piece on demonetization by one of the best statistician â,Neutral
one good thing about demonetization is that loan shark will lose lot of money,Positive
once upon a time people had a knowledge on notepr vote bt now new story at the end of the year exchangeof note like vote demonetization,Neutral
once button is pressed that is how a country should respond with vigor not with fart a many in mm r doing demonetization ajit_ranade,Positive
on the same note shame on hdfcbank for putting a out of order board outside their main branch atm in calicut demonetization,Neutral
on a serious note tomorrow million will have a problem buying milk or bread for their kid demonetization,Negative
oil product demand growth to fall up to pct from demonetization narendramodi arunjaitley,Neutral
offline retailer play the digital card to counter drop in sale demonetization rs500andrs1000,Neutral
officeofrg check the data of past year this happens in december demonetization â,Neutral
of the people are affected by modi s demonetization move vijay bairavaa narendramodi blackmoneypic twitter com bhqkujuqgk,Neutral
of course if india s economy collapse eu will benefit doesn t it demonetization blackmoneycleanup â,Neutral
of all the political party cry about demonetization i take the greatest pleasure at shivsenaâ s butthurt thoroughly corrupt bully,Positive
odisha on the move rt ommcomnews bjd will not meet president over demonetization say bjd spokesman pratap deb odisha,Neutral
number movie ashokepandit demonetization thanks â,Neutral
now some joker have the new rupee note and it s all over fb and twitter demonetization,Neutral
now my family know about the cash and i fear having to part with it demonetization â,Neutral
now definitely this ll lead to more trouble demonetization 1st ppl inpvty lne suffd n nw mdle class ll join them govtofindia acting wisely â,Negative
not sure if it intentional d timing of demonetization is spot on 4d common man imagine standing in d long queue in d summer or d rain,Negative
noone hv gut to stop akhilesh againhe will be cm up i requesting to all remember demonetization promise of bjp failedmodi in all,Neutral
none of the objective were achieved pm ha just inflicted misery on crore of people in the country p chidambaram demonetization,Neutral
nobody saw that coming ninja move by pm demonetization blackmoney,Positive
no wonder mamata is so shaken about the demonetization â,Neutral
no one think of the poor low income patient are hobbled by the currency note ban â via scroll_in demonetization,Negative
no one in the retired category ha used any of the cashless transaction facility in their lifetime demonetization,Neutral
â no need for this sudden love drama of elite for d poor must say why demonetization is not enough won t work,Neutral
no interest on late payment of credit card should be charged by bank demonetization blackmoney,Neutral
no doubt the demonetization scheme is a crackdown against blackmoney then why wdnt an anti corruption crusader praise it arvindkejriwal,Neutral
no doubt demonetization is a great move but denying the inconvenience caused is a height of sycophancy,Negative
no cash so no parking fee at all airport till nov demonetization,Neutral
no anger in gujarat on note recall cm vijayrupanibjp narendramodi vibrantgujarat cmoguj demonetization pic twitter com 91yukadrat,Neutral
